                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0157,                 3.8033,                 1.7449,                 1.3953,                0.99583,                0.47222,                0.76354,                0.55463,                0.27621,                0.23337,                0.29581,                0.12588,                0.75049,                 8.7776,                  1.297,                 1.2717,               0.080244,             9.9275e-05,             9.9275e-05
                      2,                0.80828,                  3.328,                 1.2628,                 1.2766,                0.75029,                0.90972,                0.73967,                 0.5905,                0.52187,                 0.6875,                0.47748,                0.17864,                0.60042,                 4.3824,                0.62023,                 1.2027,               0.060344,             0.00019862,             0.00019862
                      3,                0.85744,                 2.7698,                 1.1624,                 1.2334,                0.80753,                0.75694,                0.76839,                0.61365,                0.71236,                0.67361,                0.65689,                0.41238,                0.67127,                  2.988,                 1.0698,                 1.2679,               0.040442,              0.0002973,              0.0002973
                      4,                0.84895,                 2.4998,                 1.2173,                 1.2668,                0.91148,                0.71064,                0.90511,                0.64163,                0.70562,                 0.6021,                0.64677,                0.52834,                0.87845,                  2.044,                 1.0874,                 1.3603,                0.02054,             0.00039532,             0.00039532
                      5,                 0.8875,                 2.3227,                 1.3215,                 1.2862,                0.83605,                0.69444,                 0.8343,                0.64377,                0.79088,                0.69024,                0.73229,                0.48735,                  0.812,                 1.7441,                 1.3473,                 1.4369,             0.00063761,             0.00049268,             0.00049268
                      6,                0.94271,                 2.2108,                  1.269,                 1.3548,                0.91996,                    0.8,                0.92785,                0.69153,                0.83875,                0.72005,                0.83606,                 0.6204,                0.71806,                 1.9654,                0.96627,                 1.2873,             0.00049175,             0.00049175,             0.00049175
                      7,                0.87478,                 2.3412,                 1.2509,                 1.3283,                0.43298,                0.84722,                  0.834,                0.65265,                0.42536,                0.81944,                 0.7695,                0.54305,                0.58993,                 1.8572,                 1.0362,                 1.1793,              0.0004901,              0.0004901,              0.0004901
                      8,                0.92141,                 2.2055,                 1.3019,                 1.3077,                0.90268,                0.81944,                0.88257,                0.65486,                0.81255,                0.73611,                0.77823,                0.54196,                0.66988,                  1.611,                0.95737,                 1.1981,             0.00048845,             0.00048845,             0.00048845
                      9,                0.93578,                  2.237,                 1.2657,                 1.3159,                0.92554,                0.82869,                0.92548,                0.76848,                0.72297,                0.85417,                0.82456,                 0.6593,                0.59976,                 1.4725,                0.85988,                 1.1512,              0.0004868,              0.0004868,              0.0004868
                     10,                0.91512,                  2.212,                 1.2017,                 1.3314,                 0.8944,                0.84722,                0.92308,                0.74757,                 0.8944,                0.84722,                0.92308,                 0.7012,                0.56407,                 1.2786,                0.64966,                 1.0782,             0.00048515,             0.00048515,             0.00048515
                     11,                0.86378,                 1.9534,                 1.0584,                 1.2695,                0.97961,                0.90972,                0.96455,                0.78886,                0.97961,                0.90972,                0.96455,                0.70769,                0.61905,                 1.2117,                0.67436,                 1.1087,              0.0004835,              0.0004835,              0.0004835
                     12,                0.83122,                 2.1294,                0.99462,                  1.248,                0.83987,                      1,                   0.97,                0.72454,                0.87678,                0.76389,                0.81942,                0.56438,                0.68512,                 2.2246,                0.72419,                 1.1904,             0.00048185,             0.00048185,             0.00048185
                     13,                0.85434,                 2.1457,                 1.0595,                 1.2522,                0.98109,                0.92552,                0.97752,                0.75377,                0.98131,                0.92421,                0.94294,                0.74266,                0.74595,                 1.0315,                0.74119,                 1.1919,              0.0004802,              0.0004802,              0.0004802
                     14,                0.87389,                 1.9929,                 1.1126,                 1.2648,                0.89983,                0.96031,                0.96081,                0.78371,                0.89983,                0.96031,                0.95996,                  0.752,                0.77446,                 1.3074,                0.77139,                 1.2656,             0.00047855,             0.00047855,             0.00047855
                     15,                0.94941,                 2.2599,                 1.1767,                 1.3159,                0.92626,                0.96144,                0.95698,                0.71751,                0.92626,                0.96144,                0.95698,                0.71637,                0.67196,                0.83023,                0.72882,                 1.1787,              0.0004769,              0.0004769,              0.0004769
                     16,                0.90278,                  1.805,                0.97818,                 1.3122,                0.97316,                0.90972,                0.95477,                0.71309,                0.97316,                0.90972,                0.95477,                0.75324,                0.77405,                0.87252,                0.91858,                 1.3082,             0.00047525,             0.00047525,             0.00047525
